date,portfolio_value,daily_return,regime
2023-05-16,16022434.594808508,0.0005181772195854969,0
2023-05-17,16025694.365558777,0.00020345040143431627,0
2023-05-18,16020768.20462602,-0.00030739141907910325,0
2023-05-19,16013348.364163417,-0.0004631388687379481,0
2023-05-22,16014306.88378854,5.985753905572979e-05,0
2023-05-23,16021855.128816247,0.00047134384787821625,0
2023-05-24,16023034.946664583,7.363802998153986e-05,-3
2023-05-25,15985129.882813482,-0.002365660686460119,-2
2023-05-26,15982575.060149783,-0.00015982495496919672,-2
2023-05-29,15984824.121221703,0.0001407195688713153,-2
2023-05-30,16002028.705020975,0.001076307356828002,-2
2023-05-31,16006664.935434103,0.0002897276650722981,-2
2023-06-01,16012400.131207984,0.0003583004827685635,-2
2023-06-02,16000459.518078566,-0.0007457103889220709,-1
2023-06-05,16000483.423702855,1.4940586088173677e-06,-1
2023-06-06,15992788.137836553,-0.0004809408355062869,-1
2023-06-07,15993778.042901665,6.18969660937283e-05,-1
2023-06-08,16002443.046396472,0.0005417733991032886,-1
2023-06-09,16002968.125232156,3.281241708912519e-05,-1
2023-06-12,16019646.462782305,0.001042202760115003,-1
2023-06-13,15961946.282025304,-0.003601838585580105,-1
2023-06-14,16111023.87507562,0.009339562382702195,-1
2023-06-15,16104600.670404164,-0.0003986838279963339,-1
2023-06-16,16110924.673695851,0.0003926830240074405,-1
2023-06-19,15890187.329327231,-0.013701097164771399,-1
2023-06-20,15898594.096641576,0.0005290540092518686,-1
2023-06-21,15983173.132964361,0.005319906641345768,-1
2023-06-22,15993086.818855878,0.0006202576803143977,-1
2023-06-23,16005704.837629793,0.0007889670653846641,-1
2023-06-26,16006283.07777867,3.6127128092304946e-05,0
2023-06-27,15976476.038295131,-0.0018622086925927134,0
2023-06-28,15976476.038295131,0.0,0
